topic,paraphrase_idx,category,K,r_drift,abs_r_drift,r_timing_cv,abs_r_timing_cv,r_mean_depth_excess,abs_r_mean_depth_excess,r_isolated_frac,abs_r_isolated_frac,r_d2_excess,abs_r_d2_excess
mid_minimum_wage,3,mid,30,-0.17407275199395514,0.17407275199395514,0.23538459103307463,0.23538459103307463,0.07653872296597988,0.07653872296597988,-0.09080376109309901,0.09080376109309901,0.05410930888998398,0.05410930888998398
mid_minimum_wage,4,mid,30,-0.09105723469489636,0.09105723469489636,-0.3374642094092711,0.3374642094092711,-0.09990337584284195,0.09990337584284195,-0.09710422827246676,0.09710422827246676,,
mid_nuclear_power,0,mid,30,0.5703298447247006,0.5703298447247006,0.20043250304504215,0.20043250304504215,-0.09438876205852821,0.09438876205852821,-0.30676471835958496,0.30676471835958496,-0.006533332578817136,0.006533332578817136
mid_nuclear_power,1,mid,30,0.07624461136836608,0.07624461136836608,0.2626202473136793,0.2626202473136793,-0.4618595371764986,0.4618595371764986,0.2536996051675382,0.2536996051675382,-0.3952462496765843,0.3952462496765843
mid_nuclear_power,2,mid,30,0.09971314244972998,0.09971314244972998,0.09994095214521373,0.09994095214521373,0.1406310570917504,0.1406310570917504,0.2601612477973166,0.2601612477973166,0.11042141647957743,0.11042141647957743
mid_nuclear_power,3,mid,30,0.10228242639460018,0.10228242639460018,-0.20403391497118514,0.20403391497118514,0.007996863174317864,0.007996863174317864,0.39085972947429315,0.39085972947429315,0.015614933466759084,0.015614933466759084
mid_nuclear_power,4,mid,30,0.109067424646269,0.109067424646269,0.08800078503055794,0.08800078503055794,0.33543587807237224,0.33543587807237224,0.15445103615780642,0.15445103615780642,0.3075855709337537,0.3075855709337537
mid_psychedelic_therapy,0,mid,30,-0.14464120346042308,0.14464120346042308,-0.03656638245782556,0.03656638245782556,0.0016698809952045437,0.0016698809952045437,-0.20052999775147415,0.20052999775147415,0.0035874769816796413,0.0035874769816796413
mid_psychedelic_therapy,1,mid,30,0.27380258354933606,0.27380258354933606,-0.03385826243943698,0.03385826243943698,-0.05147435621580236,0.05147435621580236,0.16218953639028658,0.16218953639028658,-0.19904894801918843,0.19904894801918843
mid_psychedelic_therapy,2,mid,30,-0.31871309915177415,0.31871309915177415,0.09274806548643477,0.09274806548643477,0.35977470281120394,0.35977470281120394,0.13122478099296675,0.13122478099296675,0.2671665975541946,0.2671665975541946
